seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,delta_first_prod_vs_second_prob,delta_first_prod_vs_third_prob,delta_first_prod_vs_fourth_prob
223,,,,,,,,30.123108,31.89534,37.848305
224,,,,,,,,7.3038435,8.589091,11.15064
225,,,,,,,,41.593422,50.92158,63.07435
226,,,,,,,,26.09569,26.176786,30.740875
227,,,,,,,,22.505566,23.658737,24.314882
228,,,,,,,,11.233186,15.036322,18.629316
229,,,,,,,,31.464329,35.08136,39.554394
230,,,,,,,,18.130224,26.66547,29.838146
231,,,,,,,,25.953022,29.65214,36.68412
232,80,2.8709069789821604,0.3921568627450981,0.00784313725490196,0,6,2,1.6892347,10.824316,13.374752
233,,,,,,,,18.088535,18.976818,43.04835
234,,,,,,,,20.867586,22.393572,23.569912
235,,,,,,,,48.756042,56.396748,62.539215
236,,,,,,,,64.54576,67.23488,75.04807
237,,,,,,,,27.356426,30.548826,31.104141
238,,,,,,,,26.26353,29.936768,30.110008
239,,,,,,,,25.442604,31.455723,50.515884
240,,,,,,,,4.700831,6.1850038,8.664433
241,,,,,,,,40.169758,41.928616,48.942825
242,,,,,,,,33.07788,43.03775,50.34307
243,,,,,,,,29.394354,40.79864,43.5517
244,,,,,,,,12.888838,32.324368,34.623573
245,,,,,,,,39.96582,46.79396,51.003296
246,108,3.004331104013866,0.3921568627450981,0.0039215686274509665,0,5,2,5.508621,6.369086,19.51676
247,,,,,,,,14.535252,21.86237,26.939114
248,,,,,,,,45.12968,47.10881,47.82238
249,,,,,,,,35.883293,38.418842,42.73497
250,,,,,,,,9.876769,21.135193,21.879128
251,,,,,,,,26.459442,27.434353,28.095465
252,,,,,,,,37.292713,42.865948,45.79733
253,,,,,,,,35.118782,58.092796,68.29277
254,,,,,,,,14.106008,14.637383,23.56919
255,,,,,,,,46.74639,57.959297,64.28841
256,,,,,,,,11.800692,17.004423,22.304905
257,,,,,,,,46.047718,46.2643,51.194244
258,,,,,,,,31.160181,32.11854,41.8802
259,,,,,,,,46.92551,46.98123,47.464874
260,,,,,,,,12.501609,17.85706,19.16307
261,,,,,,,,24.166348,32.484314,44.869083
262,,,,,,,,13.479575,18.080256,23.432232
263,,,,,,,,31.656727,36.29652,42.946377
264,,,,,,,,9.747917,29.848621,35.459713
265,,,,,,,,33.934963,45.135307,50.447136
266,,,,,,,,27.303116,37.268875,39.015812
267,,,,,,,,18.644629,28.057388,30.18676
268,,,,,,,,9.863073,18.069517,32.5018
269,,,,,,,,25.717947,30.484516,36.188896
270,,,,,,,,20.830036,21.215284,28.650417
271,,,,,,,,34.79798,45.62058,46.407856
272,,,,,,,,34.064613,44.398006,52.9432
273,,,,,,,,22.944265,28.068064,36.86842
274,,,,,,,,10.6949005,13.99059,18.309723
275,,,,,,,,36.096554,39.86254,40.675877
276,,,,,,,,17.62691,17.795662,21.244068
277,,,,,,,,52.21889,57.32636,81.23741
278,,,,,,,,7.4531403,16.905125,22.890171
279,,,,,,,,38.709972,39.708885,47.5074
280,,,,,,,,11.666955,21.626574,33.688915
281,,,,,,,,19.461878,49.875336,75.87249
282,,,,,,,,11.430869,15.582783,19.534746
283,,,,,,,,48.892307,50.789753,52.89342
284,,,,,,,,13.179195,28.52959,42.160122
285,,,,,,,,18.379324,30.967857,31.438953
286,,,,,,,,47.362846,49.325783,54.32203
287,,,,,,,,40.92034,45.320206,45.710033
288,,,,,,,,33.371403,41.06949,42.715416
289,,,,,,,,43.25599,48.108047,48.21709
290,,,,,,,,21.755695,31.31143,38.444386
291,,,,,,,,27.092426,29.145617,32.362442
292,,,,,,,,35.690563,36.747604,41.281498
293,,,,,,,,43.834396,67.75234,67.88087
294,,,,,,,,22.052477,50.813736,51.879765
295,,,,,,,,19.815735,35.331673,36.73773
296,,,,,,,,29.06934,29.074076,41.65712
297,,,,,,,,43.70382,44.29099,46.172607
298,,,,,,,,60.093815,60.59022,72.90323
299,,,,,,,,56.17117,59.35927,59.684303
300,,,,,,,,23.28932,28.932297,30.763094
301,,,,,,,,16.971054,35.97979,39.31676
302,,,,,,,,18.945011,35.882248,45.16079
303,,,,,,,,41.104294,53.529636,63.91331
304,,,,,,,,18.670696,19.778105,20.484295
305,,,,,,,,22.047056,33.343582,34.432228
306,,,,,,,,19.97666,29.130287,31.928139
307,,,,,,,,17.92588,23.290236,27.459347
308,,,,,,,,35.492558,57.05813,79.80068
309,,,,,,,,20.477463,20.840572,27.474358
310,,,,,,,,25.33672,25.577671,27.52657
311,,,,,,,,33.143,40.19327,50.74135
312,,,,,,,,35.797325,40.123947,57.453766
313,,,,,,,,12.665234,17.537374,25.859491
314,,,,,,,,25.65336,28.675762,29.559513
315,,,,,,,,14.4296,28.09011,30.217846
316,,,,,,,,9.745195,10.555708,11.208507
317,,,,,,,,26.895811,28.937729,56.585266
318,,,,,,,,23.990564,24.029585,28.168339
319,,,,,,,,22.757204,34.1341,34.22622
320,,,,,,,,26.994753,27.710659,42.817085
321,,,,,,,,34.853016,44.590294,47.012653
322,,,,,,,,27.574753,28.92165,32.07046
323,,,,,,,,48.950317,49.230934,57.924156
324,,,,,,,,17.93056,32.17312,34.255074
325,,,,,,,,34.352303,46.36875,74.783195
326,,,,,,,,30.0991,30.288404,43.984646
327,,,,,,,,51.274414,62.34768,63.70357
328,,,,,,,,17.176298,32.044014,45.41444
329,,,,,,,,40.708145,46.09496,49.28617
330,,,,,,,,31.149246,31.63218,32.805355
331,,,,,,,,12.257322,25.598896,38.132545
332,,,,,,,,26.017076,35.248352,43.889748
333,,,,,,,,41.224518,45.812363,53.38818
334,,,,,,,,24.011784,27.092619,30.765848
335,,,,,,,,29.860682,40.902023,42.990685
336,,,,,,,,38.858578,39.23676,40.974
337,,,,,,,,16.449549,43.257317,43.390617
338,,,,,,,,31.258074,33.083668,36.83581
339,,,,,,,,40.550255,61.663574,63.42696
340,,,,,,,,6.3701916,10.006834,15.550926
341,,,,,,,,44.74853,59.155388,73.84741
342,,,,,,,,20.492851,22.138998,27.233763
343,,,,,,,,31.891247,36.694767,49.009983
344,,,,,,,,17.748692,20.434076,23.250685
345,,,,,,,,17.20823,17.396317,23.81678
346,,,,,,,,8.401394,21.437265,32.477825
347,,,,,,,,49.103092,66.58978,71.4565
348,,,,,,,,22.835688,30.185787,42.70857
349,,,,,,,,40.755646,41.26714,51.112415
350,,,,,,,,20.990517,23.222303,25.476292
351,,,,,,,,22.591908,24.848808,26.097727
352,,,,,,,,20.814821,34.429527,34.4361
353,,,,,,,,22.282047,23.999702,31.436163
354,,,,,,,,15.449396,19.264212,21.343292
355,,,,,,,,19.79391,25.502094,29.776785
356,,,,,,,,24.700655,28.435692,30.192053
357,,,,,,,,18.406857,24.995438,27.074467
358,,,,,,,,24.745836,26.172539,29.495434
359,,,,,,,,35.127625,42.913925,58.932693
360,,,,,,,,51.997875,54.664,74.840706
361,,,,,,,,37.73894,41.61559,54.373943
362,,,,,,,,20.017033,22.066921,26.236824
363,,,,,,,,34.294704,39.23429,39.471333
364,,,,,,,,14.553869,20.333134,24.424503
365,,,,,,,,17.007849,33.184254,51.364025
366,,,,,,,,15.80542,19.930586,25.260609
367,,,,,,,,45.71105,51.209698,58.86582
368,,,,,,,,18.446049,28.517488,29.018469
369,,,,,,,,52.716103,56.37272,59.92776
370,,,,,,,,11.779963,13.786111,19.633003
371,,,,,,,,23.736935,40.76258,42.091496
372,,,,,,,,43.280277,44.135723,49.680687
373,,,,,,,,47.518185,48.120937,49.49673
374,,,,,,,,27.971487,31.244606,32.346027
375,,,,,,,,43.9215,58.52334,70.53925
376,,,,,,,,14.895338,23.237213,24.306767
377,,,,,,,,36.33232,53.297447,56.31375
378,,,,,,,,56.617466,58.00072,67.03127
379,,,,,,,,38.75163,45.90939,50.224953
380,,,,,,,,20.286278,28.687878,32.11112
381,,,,,,,,17.000654,24.82343,37.685272
382,,,,,,,,23.812742,29.257402,34.19481
383,,,,,,,,23.848408,37.15894,41.62012
384,,,,,,,,18.975882,21.486626,24.705378
385,,,,,,,,47.535545,60.6784,74.54392
386,,,,,,,,25.180029,32.996765,34.642437
387,,,,,,,,34.880955,44.21276,49.974068
388,,,,,,,,12.1625595,13.100673,23.943705
389,,,,,,,,25.608252,31.389055,34.413162
390,,,,,,,,8.497911,13.073008,22.327066
391,,,,,,,,11.908961,15.074622,25.487835
392,,,,,,,,37.263996,46.76963,52.23487
393,,,,,,,,46.422882,49.589592,57.960682
394,,,,,,,,17.782635,20.97691,25.010983
395,,,,,,,,29.974312,37.99163,49.031357
396,,,,,,,,20.560225,28.48125,31.831934
397,,,,,,,,19.746016,22.098568,24.153234
398,,,,,,,,22.127079,23.682308,29.041973
399,,,,,,,,37.23558,58.77227,60.206886
400,,,,,,,,52.999325,57.96743,61.753304
401,,,,,,,,18.520256,22.89826,40.275757
402,,,,,,,,34.43014,38.44375,40.337276
403,,,,,,,,37.366817,46.87732,47.700794
404,,,,,,,,6.2253284,31.70696,39.969604
405,,,,,,,,31.13804,31.476425,54.501713
406,,,,,,,,33.890335,42.49288,44.61738
407,,,,,,,,33.475964,38.328617,39.16128
408,,,,,,,,25.26626,27.37347,29.766064
409,,,,,,,,7.760584,24.722649,28.210026
410,,,,,,,,22.599428,39.2738,50.937977
411,,,,,,,,26.66041,30.27425,31.674706
412,,,,,,,,10.9191065,19.94523,23.520325
413,,,,,,,,41.13242,44.666252,45.20761
414,,,,,,,,16.873072,17.459833,23.62567
415,,,,,,,,31.188118,31.598866,35.523727
416,,,,,,,,7.906558,17.724646,20.548012
417,,,,,,,,24.262558,26.48029,29.422922
418,,,,,,,,6.859639,8.895678,8.910648
419,,,,,,,,21.531021,26.062687,30.62292
420,,,,,,,,4.449642,16.521978,23.636173
421,,,,,,,,41.88864,50.74307,56.16449
422,,,,,,,,28.167719,36.80758,40.242275
423,,,,,,,,24.041708,29.696266,33.42494
424,,,,,,,,10.721701,12.370572,15.739297
425,,,,,,,,8.781101,15.217036,28.685093
426,,,,,,,,38.612762,50.288097,55.27838
427,,,,,,,,32.863518,53.947636,55.664356
428,,,,,,,,27.610106,31.677814,34.89422
429,,,,,,,,48.49035,52.93003,60.353195
430,,,,,,,,28.46157,37.352333,49.329315
431,,,,,,,,32.035656,32.9495,43.453346
432,,,,,,,,39.287785,48.557724,48.79663
433,,,,,,,,54.035187,54.564514,56.521896
434,,,,,,,,19.853548,22.234976,34.15736
435,,,,,,,,42.301308,46.0776,47.62067
436,,,,,,,,11.49474,14.963972,16.409922
437,,,,,,,,22.452354,37.592846,39.692192
438,,,,,,,,32.09693,48.855186,53.04483
439,,,,,,,,16.431063,19.907026,33.51539
440,,,,,,,,28.252125,29.450884,30.06754
441,,,,,,,,24.108177,24.141993,26.508633
442,,,,,,,,25.974806,32.75461,35.30579
443,,,,,,,,17.718983,22.029997,25.129215
444,,,,,,,,10.179331,10.983413,15.685004
445,,,,,,,,30.189316,33.77603,40.83243
446,,,,,,,,1.1918669,5.4651003,11.6703415
447,,,,,,,,16.963255,20.24394,20.272163
448,,,,,,,,15.924204,42.11328,59.151314
449,,,,,,,,34.565002,48.50329,54.96576
450,,,,,,,,11.568406,24.207823,25.836601
451,,,,,,,,28.715542,30.834068,31.275623
452,,,,,,,,24.992188,37.619846,43.023827
453,,,,,,,,32.6184,38.502316,45.222157
454,,,,,,,,16.145277,20.058523,23.661343
455,,,,,,,,12.32476,12.945202,19.431334
456,,,,,,,,9.625156,13.509591,23.128162
457,,,,,,,,23.607723,25.520735,53.474236
458,,,,,,,,48.48471,53.268387,59.4845
459,,,,,,,,36.4154,36.8709,49.80823
460,,,,,,,,19.924387,24.908228,27.61045
461,,,,,,,,39.664337,44.006638,49.212784
462,,,,,,,,24.478643,38.49667,44.547626
463,,,,,,,,21.79469,23.626192,27.515217
464,,,,,,,,40.06012,49.150345,54.02178
465,,,,,,,,51.67986,60.177116,64.24097
466,,,,,,,,13.32341,14.071683,14.079441
467,,,,,,,,39.979137,43.23454,53.311096
468,,,,,,,,8.717957,15.769217,22.398405
469,,,,,,,,22.397001,34.562824,37.680687
470,46,2.2289935282932953,0.3921568627450981,0.05882352941176472,1,2,3,4.762972,6.503949,12.834724
471,,,,,,,,23.647825,25.395847,32.20189
472,,,,,,,,17.493876,28.837263,31.828331
473,,,,,,,,24.113943,34.944683,42.621834
474,,,,,,,,45.389927,46.323044,58.546303
475,,,,,,,,19.407328,20.94654,27.591742
476,,,,,,,,22.508434,23.380875,23.655422
477,,,,,,,,30.60062,31.87637,32.71212
478,,,,,,,,34.349422,35.98156,53.143528
479,,,,,,,,54.76283,59.11075,59.264915
480,,,,,,,,20.199135,28.549091,43.266445
481,,,,,,,,40.740593,44.011925,48.225086
482,,,,,,,,10.529406,30.854322,33.666588
483,,,,,,,,33.058807,45.919018,47.809235
484,,,,,,,,22.957449,29.74417,29.941727
485,,,,,,,,41.866776,42.005875,45.05237
486,,,,,,,,52.092518,55.38594,63.543137
487,,,,,,,,8.310385,18.216814,30.693542
488,,,,,,,,15.784232,18.061571,26.171574
489,,,,,,,,16.338865,21.477962,22.533693
490,,,,,,,,31.736633,41.58802,43.031075
491,,,,,,,,5.8766327,11.283442,15.3589735
492,,,,,,,,13.181904,24.317066,28.27401
493,,,,,,,,30.994345,36.302986,40.887184
494,,,,,,,,6.914936,26.51488,37.059044
495,,,,,,,,59.46727,64.92585,72.17662
496,,,,,,,,13.758459,22.906069,25.126465
497,,,,,,,,18.959282,19.985281,21.54816
498,,,,,,,,17.956179,29.465153,45.457123
499,,,,,,,,18.669895,32.958878,39.83918
500,66,2.362161672333998,0.3921568627450981,0.007843137254901933,3,7,3,2.454265,2.7020283,8.403956
501,,,,,,,,10.4098835,22.456106,26.147026
502,,,,,,,,6.468363,17.198849,27.188086
503,,,,,,,,23.893988,29.193298,29.800701
504,,,,,,,,38.253685,49.83815,54.841072
505,,,,,,,,26.94151,35.1111,35.344326
506,,,,,,,,26.322805,37.595608,38.417927
507,,,,,,,,14.52356,22.037663,23.331036
508,,,,,,,,22.982676,33.54432,38.861946
509,,,,,,,,10.96756,29.339859,30.607267
510,,,,,,,,21.615013,22.350058,26.6952
511,,,,,,,,9.156004,14.005998,16.540243
512,,,,,,,,15.770884,20.996418,23.352919
513,,,,,,,,38.087822,47.05739,49.9513
514,,,,,,,,3.6004143,3.6370392,14.032469
515,,,,,,,,46.377487,56.56187,57.088913
516,,,,,,,,35.726303,37.125744,41.86603
517,,,,,,,,28.052187,28.581833,35.66533
518,68,2.534850513941144,0.3921568627450981,0.00784313725490196,7,1,3,3.9266148,4.945591,16.710197
519,,,,,,,,31.056393,42.982292,44.287754
520,,,,,,,,29.833918,32.471188,33.32127
521,,,,,,,,25.106625,34.582253,35.65265
522,,,,,,,,44.551136,45.06257,49.806488
523,,,,,,,,15.225084,19.757019,26.3822
524,,,,,,,,20.446934,25.571928,33.188442
525,,,,,,,,17.835178,27.223244,41.2871
526,,,,,,,,42.362938,47.964863,48.77245
527,,,,,,,,17.1208,21.179523,21.67372
528,,,,,,,,12.7009,14.223393,15.03755
529,,,,,,,,8.744928,17.737816,33.47419
530,,,,,,,,14.338242,31.265224,31.788284
531,,,,,,,,22.189999,28.221336,32.24966
532,,,,,,,,11.531328,25.934679,39.38863
533,,,,,,,,19.581656,22.472614,25.587976
534,,,,,,,,26.057673,41.487015,44.885418
535,,,,,,,,20.149647,25.544527,26.968035
536,,,,,,,,14.787778,24.566776,31.301048
537,,,,,,,,47.168785,55.557125,68.17539
538,,,,,,,,17.870434,18.1324,23.624107
539,,,,,,,,44.4316,48.844593,51.71608
540,,,,,,,,7.737344,14.554057,27.0974
541,,,,,,,,38.83833,41.94537,43.312664
542,,,,,,,,18.829422,25.46837,30.187847
543,,,,,,,,28.311745,30.814127,43.842632
544,,,,,,,,22.41147,37.83604,59.255123
545,,,,,,,,29.601297,40.067112,49.878914
546,,,,,,,,35.21333,37.531036,58.317413
547,,,,,,,,2.0311728,4.414281,11.479029
548,,,,,,,,31.83958,48.885826,51.7248
549,,,,,,,,37.699543,48.556534,53.59598
550,,,,,,,,24.450085,30.287983,31.2281
551,,,,,,,,16.44407,30.892467,46.816006
552,,,,,,,,12.174511,13.213193,26.158804
553,,,,,,,,20.305868,23.474108,33.1353
554,,,,,,,,13.536812,29.340229,30.611593
555,,,,,,,,29.416056,31.736649,48.053444
556,,,,,,,,31.837559,32.11437,35.206753
557,,,,,,,,57.430668,62.30665,66.03968
558,,,,,,,,6.943304,8.899194,12.121668
559,,,,,,,,19.067764,20.545841,41.91854
560,,,,,,,,18.682455,32.427826,34.832405
561,,,,,,,,29.246874,29.636053,35.084778
562,,,,,,,,17.330025,36.277473,40.4249
563,,,,,,,,14.23736,15.381754,32.21424
564,,,,,,,,25.37393,26.787783,41.12261
565,,,,,,,,26.98759,31.381283,33.766426
566,,,,,,,,27.537237,27.610582,29.077545
