seed,l0,l2,l_inf,minimum_change,true_label,adv_label,position_adv_label_in_original_pred,first_largest,second_largest,third_largest,fourth_largest,fifth_largest,last_largest,epsilon
3007,453,0.48780283272444686,0.02300000000000002,0.0039215686274509665,5,9,2,1.0,2.1950879e-12,9.0532996e-14,2.716034e-14,7.200768e-19,2.6512332e-38,0.023
3034,488,0.5408815621584528,0.025000000000000022,0.007843137254901933,3,5,2,1.0,4.9805715e-12,8.706673e-14,1.9836848e-14,4.171772e-15,0.0,0.025
3098,436,0.3957337429503534,0.019000000000000017,0.0039215686274509665,6,1,2,1.0,1.343046e-09,1.5492175e-11,9.6883595e-12,8.057475e-17,5.5505283e-24,0.019
3216,489,0.591555876691274,0.027000000000000024,0.007843137254901933,5,3,2,1.0,4.318718e-09,1.7782834e-09,3.885245e-10,1.2677457e-14,1.1985609e-23,0.027
3272,438,0.5582856313868333,0.027000000000000024,0.0039215686274509665,1,8,2,1.0,1.21125e-10,1.3881059e-11,2.9764695e-12,1.6875034e-12,7.9016153e-28,0.027
3277,488,0.6222434315603131,0.029000000000000026,0.0039215686274509665,9,8,2,1.0,1.0860439e-09,3.5819375e-11,1.0886534e-12,5.8259657e-16,4.85278e-30,0.029
3287,450,0.5515432893255071,0.026000000000000023,0.025999999999999995,6,2,2,1.0,4.932128e-10,3.0413776e-11,1.8628142e-17,1.7634415e-17,1.9207496e-34,0.026000000000000002
3297,463,0.42155312328991074,0.020000000000000018,0.0039215686274509665,6,2,2,1.0,1.8237149e-08,7.848118e-12,5.3898285e-14,9.760682e-15,5.7811248e-27,0.02
3316,467,0.46729285225164197,0.02200000000000002,0.00392156862745098,9,8,2,1.0,2.6228806e-08,5.2716365e-10,1.1265999e-10,5.0111523e-11,3.9801304e-20,0.022
3364,455,0.4807758031905175,0.02300000000000002,0.0039215686274509665,6,2,2,1.0,5.008527e-10,3.570512e-11,6.5578233e-12,9.365538e-13,6.031881e-21,0.023
3366,473,0.6154242632826448,0.029000000000000026,0.0039215686274509665,6,2,2,1.0,5.277542e-10,1.076775e-12,3.4368366e-13,3.3090793e-16,3.060789e-20,0.029
3389,476,0.5361053341069998,0.025000000000000022,0.0039215686274509665,9,8,2,1.0,6.8523433e-12,5.8942027e-12,8.1723674e-13,7.9485957e-13,2.5122339e-24,0.025
3415,465,0.4426420810525057,0.02100000000000002,0.0039215686274509665,3,7,2,1.0,3.1145562e-09,3.1368277e-10,3.771836e-12,1.7999221e-12,0.0,0.021
3418,476,0.4961392603952019,0.02300000000000002,0.0039215686274509665,1,8,2,1.0,1.169136e-08,1.1656073e-11,1.884382e-12,4.331851e-13,5.291608e-23,0.023
3530,431,0.5770624039650939,0.028000000000000025,0.0039215686274509665,6,2,2,1.0,4.386144e-08,1.3928918e-09,1.7752569e-13,3.888447e-14,8.059141e-23,0.028
3547,492,0.5438656455835232,0.025000000000000022,0.0039215686274509665,4,2,2,1.0,1.5751246e-11,1.9876674e-12,2.0311118e-16,1.6195164e-16,2.2535244e-24,0.025
3644,476,0.5296504545438079,0.025000000000000022,0.007843137254901933,1,2,2,0.9637027,0.03629059,6.692031e-06,1.4296134e-08,2.7313756e-09,2.4328634e-21,0.025
3714,471,0.5378266422524025,0.025000000000000022,0.0039215686274509665,1,8,2,1.0,1.4885004e-09,5.1056577e-13,1.6044504e-13,7.539914e-14,3.644921e-23,0.025
3900,465,0.4270649453098383,0.020000000000000018,0.0039215686274509665,1,8,2,1.0,4.3624698e-10,1.580159e-11,6.0748472e-12,2.7269294e-14,3.8715964e-25,0.02
3952,481,0.6224248871148725,0.029000000000000026,0.007843137254901933,6,2,2,1.0,1.0220926e-12,4.8387126e-15,6.3113186e-18,1.7793474e-18,4.6702863e-25,0.029
3962,481,0.5602373707389325,0.026000000000000023,0.007843137254901933,1,8,2,1.0,2.1880414e-11,1.1813344e-12,7.784863e-15,4.948719e-15,7.5176386e-26,0.026000000000000002
3983,448,0.5847497570366995,0.028000000000000025,0.0039215686274509665,8,0,2,1.0,4.500357e-10,1.4557335e-10,4.474165e-11,2.7812268e-11,1.935771e-18,0.028
4030,467,0.342416318280818,0.016000000000000014,0.0039215686274509665,6,2,2,1.0,2.3341902e-09,4.66747e-11,1.267084e-13,4.1981408e-17,4.68225e-35,0.016
4092,473,0.575566286849289,0.027000000000000024,0.0039215686274509665,9,3,2,1.0,2.6820643e-09,2.467506e-11,9.294174e-14,2.3492137e-14,3.2665043e-36,0.027
4107,468,0.6121028361055632,0.029000000000000026,0.0039215686274509665,4,2,2,1.0,3.291206e-14,6.997576e-16,1.9619113e-16,1.8302308e-16,8.945776e-22,0.029
4128,499,0.4572241564681134,0.02100000000000002,0.007843137254901933,1,8,2,1.0,1.9868866e-12,1.2669349e-12,6.596052e-14,1.6308945e-14,3.9262405e-32,0.021
4140,472,0.4884864500868913,0.02300000000000002,0.0039215686274509665,1,8,2,1.0,1.4114796e-08,2.0841008e-10,2.7269517e-13,2.2025497e-15,2.6733192e-25,0.023
4143,472,0.3803160708220076,0.018000000000000016,0.0039215686274509665,6,2,2,1.0,3.2049452e-09,3.3028028e-10,1.21599475e-11,8.180122e-12,1.4889078e-26,0.018000000000000002
4160,481,0.4687714718393788,0.02200000000000002,0.007843137254901933,1,8,2,1.0,2.488229e-08,3.0271258e-13,2.0964369e-13,2.184933e-16,1.2728594e-27,0.022
4166,469,0.5761004240386136,0.027000000000000024,0.007843137254901933,1,8,2,1.0,1.0677171e-08,9.3660656e-11,4.307231e-14,1.1687712e-14,5.8171347e-21,0.027
4202,376,0.5368756812489217,0.028000000000000025,0.0039215686274509665,1,7,2,1.0,6.0963767e-09,1.1064465e-09,1.0195508e-10,1.32822135e-14,5.858131e-21,0.028
4224,466,0.5562878764281822,0.026000000000000023,0.0039215686274509665,4,2,2,1.0,1.1376781e-09,2.0985845e-10,9.075261e-13,4.1989182e-13,3.70415e-19,0.026000000000000002
4248,479,0.5380524440293453,0.025000000000000022,0.007843137254901933,1,8,2,1.0,2.6207225e-10,1.0089737e-12,3.3341585e-14,3.002168e-15,4.330481e-31,0.025
4294,460,0.610370747846741,0.029000000000000026,0.0039215686274509665,1,8,2,1.0,1.2227732e-13,1.1983835e-14,9.391408e-16,2.3719305e-16,6.133532e-29,0.029
4408,446,0.5625529931037438,0.027000000000000024,0.0039215686274509665,6,2,2,1.0,2.3646585e-08,1.7923528e-10,2.4607462e-12,2.116531e-12,2.4824256e-24,0.027
4436,482,0.5800009744254632,0.027000000000000024,0.0039215686274509665,4,2,2,1.0,4.6264197e-09,4.760692e-10,1.13956906e-10,8.88864e-12,2.2931048e-22,0.027
4441,427,0.5722738205125089,0.028000000000000025,0.0039215686274509665,1,7,2,1.0,1.6383822e-08,8.18669e-09,1.9686984e-10,1.8405075e-10,5.3020936e-31,0.028
4483,526,0.6010317957736926,0.027000000000000024,0.0039215686274509665,9,8,2,1.0,3.386336e-13,5.2130295e-15,3.5156253e-15,1.5002824e-18,1.8433057e-38,0.027
4772,470,0.5575431261906795,0.026000000000000023,0.007843137254901933,1,8,2,1.0,1.9929167e-09,1.697739e-14,2.7935928e-15,1.0762908e-15,5.718251e-24,0.026000000000000002
4790,475,0.4298291462470589,0.020000000000000018,0.007843137254901933,1,8,2,1.0,1.3013153e-09,7.1625254e-11,1.0024268e-12,3.76413e-13,2.2700881e-26,0.02
4800,443,0.5776614457162382,0.028000000000000025,0.0039215686274509665,6,1,2,1.0,3.6011164e-12,2.0690724e-15,1.1731124e-15,2.5107113e-16,8.0203425e-31,0.028
4807,471,0.5312861698115127,0.025000000000000022,0.0039215686274509665,1,8,2,1.0,5.1724647e-10,9.280823e-13,2.1689246e-14,2.079431e-14,2.7110916e-25,0.025
4828,463,0.6170549449400526,0.029000000000000026,0.0039215686274509665,6,2,2,1.0,5.251918e-09,2.3853749e-11,1.6574884e-13,7.910776e-15,3.9664114e-21,0.029
4872,471,0.557556323110934,0.026000000000000023,0.007843137254901933,1,8,2,1.0,7.2408204e-11,1.2946504e-13,2.972539e-15,3.8936953e-17,1.1433883e-28,0.026000000000000002
4978,452,0.46360286402532885,0.02200000000000002,0.007843137254901933,1,8,2,1.0,3.69841e-08,1.7043865e-11,2.3650326e-12,1.380784e-14,5.377821e-19,0.022
5024,491,0.4368064173212145,0.020000000000000018,0.0039215686274509665,9,8,2,1.0,4.6518437e-08,9.121005e-09,1.1398424e-11,4.9398685e-13,6.843711e-34,0.02
5219,524,0.6190750451863427,0.028000000000000025,0.0039215686274509665,9,8,2,1.0,3.610461e-13,9.902446e-15,6.7596824e-16,3.1633775e-18,0.0,0.028
5235,402,0.5469612563216476,0.028000000000000025,0.0039215686274509665,1,7,2,1.0,1.0526986e-08,6.383485e-11,3.4585917e-12,9.267842e-16,3.8085952e-24,0.028
5274,485,0.6100283153751148,0.029000000000000026,0.007843137254901933,6,2,2,1.0,7.083569e-17,4.5402553e-19,1.6497229e-21,1.15303176e-23,1.4073244e-37,0.029
5309,450,0.5681921555635762,0.027000000000000024,0.0039215686274509665,5,3,2,1.0,9.262483e-13,3.9621287e-15,6.292883e-17,4.8559413e-17,3.5217612e-29,0.027
5484,475,0.47335198397227435,0.02200000000000002,0.0039215686274509665,1,8,2,1.0,3.7297426e-08,1.9447512e-12,9.127596e-14,4.36558e-15,8.178656e-23,0.022
5530,474,0.3882273399858584,0.018000000000000016,0.0039215686274509665,1,8,2,1.0,2.1754347e-09,5.499091e-10,9.282398e-13,1.6467147e-13,1.1390459e-24,0.018000000000000002
5624,436,0.5170862325154076,0.025000000000000022,0.0039215686274509665,2,6,2,1.0,9.9183065e-11,8.143228e-12,7.4498014e-13,7.117547e-14,6.025219e-26,0.025
5696,473,0.591623741315345,0.028000000000000025,0.0039215686274509665,8,2,2,1.0,1.505001e-13,3.8605204e-14,7.336926e-15,3.4149397e-17,1.01150106e-32,0.028
5750,463,0.45717126164706684,0.02200000000000002,0.0039215686274509665,6,1,2,1.0,2.0343815e-11,1.36324566e-14,9.06342e-15,3.7630333e-16,1.04355115e-22,0.022
5840,478,0.4721406745970914,0.02200000000000002,0.0039215686274509665,1,8,2,1.0,3.260306e-09,1.8927893e-12,4.261933e-14,7.28786e-15,5.194975e-26,0.022
5848,452,0.3794226618488815,0.018000000000000016,0.0039215686274509665,6,1,2,1.0,4.0799694e-08,6.487567e-09,1.1979037e-10,1.3420204e-11,7.88333e-23,0.018000000000000002
5908,442,0.5165506157570477,0.025000000000000022,0.0039215686274509665,2,6,2,1.0,1.3416628e-10,4.9616866e-11,4.436486e-11,3.0803194e-17,6.0220373e-37,0.025
5930,475,0.47001463571410956,0.02200000000000002,0.007843137254901933,1,8,2,1.0,4.654963e-10,1.6200992e-10,6.5833138e-12,8.799248e-17,4.3058416e-22,0.022
5962,460,0.6126725431553843,0.029000000000000026,0.0039215686274509665,6,2,2,1.0,3.2513339e-12,2.1679278e-14,2.202916e-18,1.5761791e-19,9.3603505e-26,0.029
5992,481,0.6281659367237109,0.029000000000000026,0.0039215686274509665,9,8,2,1.0,2.3804447e-10,1.6670665e-13,6.86029e-17,1.9251436e-19,1.2061802e-29,0.029
5999,465,0.4744048903626522,0.02200000000000002,0.021999999999999992,9,8,2,1.0,9.17509e-14,8.792446e-15,3.1931346e-15,3.0521204e-16,0.0,0.022
6044,446,0.5259365330835917,0.025000000000000022,0.007843137254901933,2,4,2,1.0,7.6846455e-12,1.3315728e-13,8.030721e-16,2.9495147e-18,1.5114369e-27,0.025
6075,425,0.537644881361704,0.027000000000000024,0.00392156862745098,1,7,2,1.0,9.8934905e-09,2.9860256e-10,6.452823e-14,1.3788575e-14,1.3942598e-29,0.027
6183,403,0.5605256941706169,0.029000000000000026,0.007843137254901933,1,7,2,1.0,8.022754e-10,6.195647e-11,1.3507046e-12,1.2689215e-14,2.309325e-24,0.029
6186,477,0.5587943700682679,0.026000000000000023,0.0039215686274509665,1,8,2,1.0,7.3790474e-10,2.338392e-13,2.9644215e-14,1.3720574e-14,1.2176535e-31,0.026000000000000002
6188,461,0.5912204308436761,0.028000000000000025,0.0039215686274509665,5,0,2,1.0,1.8451093e-09,7.6191375e-10,9.357441e-11,5.1109675e-13,3.4170592e-27,0.028
6206,475,0.4711883379573285,0.02200000000000002,0.0039215686274509665,1,8,2,1.0,8.0661216e-12,2.1197052e-13,1.5987698e-15,3.8194648e-16,5.9440975e-29,0.022
6210,483,0.6253880739056895,0.029000000000000026,0.0039215686274509665,4,6,2,1.0,6.628946e-10,2.087568e-12,3.6060202e-14,8.327339e-17,1.655687e-36,0.029
6244,473,0.429990298791704,0.020000000000000018,0.007843137254901933,1,8,2,1.0,2.588937e-09,1.6684957e-12,2.6506705e-13,5.221221e-18,1.456057e-23,0.02
6303,410,0.5279021231937164,0.027000000000000024,0.007843137254901933,1,7,2,1.0,1.9136106e-09,2.6065253e-10,3.2215827e-14,1.26463035e-14,5.4282447e-23,0.027
6361,477,0.574726603676454,0.027000000000000024,0.0039215686274509665,7,2,2,1.0,1.366934e-08,2.1349486e-10,7.241618e-12,5.7380615e-12,5.10676e-31,0.027
6413,412,0.5672558101698675,0.029000000000000026,0.0039215686274509665,1,7,2,1.0,3.2239822e-09,1.7394773e-12,1.1823781e-12,1.3682928e-16,2.6119286e-26,0.029
6546,487,0.5428053420605525,0.025000000000000022,0.0039215686274509665,4,8,2,1.0,7.8132356e-10,3.2749616e-11,9.154573e-13,1.2983252e-13,7.6790056e-23,0.025
6570,462,0.4895681892428193,0.02300000000000002,0.0039215686274509665,1,8,2,1.0,7.971134e-11,5.789503e-11,2.4510416e-11,5.1615223e-15,9.07434e-25,0.023
6577,508,0.6381280781002958,0.029000000000000026,0.0039215686274509665,9,8,2,1.0,1.9949112e-11,4.1074237e-15,1.7078705e-16,1.4725228e-17,6.2493126e-27,0.029
6602,410,0.5467083317455479,0.027000000000000024,0.026999999999999996,6,2,2,1.0,2.9306211e-15,7.6407253e-16,5.591375e-16,2.142173e-17,3.6384373e-36,0.027
6625,479,0.49439117429217244,0.02300000000000002,0.0039215686274509665,9,8,2,1.0,6.8453806e-12,1.4779508e-13,4.4923378e-14,1.7469599e-14,8.088396e-24,0.023
6654,465,0.42518702490960397,0.020000000000000018,0.007843137254901933,1,8,2,1.0,4.3234422e-08,2.7746673e-11,2.2544926e-12,1.5072035e-14,7.934581e-25,0.02
6665,463,0.5322642380871386,0.025000000000000022,0.007843137254901933,1,8,2,1.0,5.1399267e-12,2.0585867e-14,2.0731718e-16,2.067934e-17,1.6013557e-25,0.025
6682,475,0.6205768220615152,0.029000000000000026,0.007843137254901933,1,8,2,1.0,1.4634295e-12,1.06891465e-13,1.2964191e-14,3.6336197e-16,7.0655486e-30,0.029
6705,518,0.5816961530352238,0.026000000000000023,0.0039215686274509665,6,2,2,1.0,3.1467289e-09,2.5476135e-09,1.336741e-13,5.1191673e-15,3.3763726e-20,0.026000000000000002
6718,463,0.6163317616722203,0.029000000000000026,0.007843137254901933,1,8,2,1.0,4.204169e-12,1.5059995e-14,7.231421e-15,3.56795e-16,2.0505121e-31,0.029
